Year,Fishery,Samples w/ ages,Ages,Samples w/ lengths,Lengths
1970,Fixed,,,1,365
1980,Fixed,,,5,500
1981,Fixed,,,1,100
1983,Fixed,,,15,1448
1986,Fixed,9,36,26,513
1987,Fixed,104,1091,119,2487
1988,Fixed,29,294,48,1191
1989,Fixed,32,284,76,2238
1990,Fixed,19,180,58,1500
1991,Fixed,24,571,66,1947
1992,Fixed,,,21,1069
1993,Fixed,8,170,202,5288
1994,Fixed,8,168,171,4592
1995,Fixed,18,318,171,4526
1996,Fixed,44,811,113,3025
1997,Fixed,76,1569,192,4379
1998,Fixed,15,289,65,1253
1999,Fixed,54,1060,115,2257
2000,Fixed,44,778,229,4878
2001,Fixed,63,789,157,3107
2002,Fixed,36,587,133,2931
2003,Fixed,25,446,175,4019
2004,Fixed,17,242,124,2626
2005,Fixed,53,871,197,3743
2006,Fixed,37,848,282,6119
2007,Fixed,97,1863,215,4573
2008,Fixed,10,449,367,8951
2009,Fixed,58,1351,402,7756
2010,Fixed,56,1201,391,8551
2011,Fixed,45,937,410,10682
2012,Fixed,82,967,481,10821
2013,Fixed,40,1151,407,8763
2014,Fixed,1,45,478,11217
2015,Fixed,,,625,13333
2016,Fixed,153,536,499,13756
2017,Fixed,113,944,398,11372
2018,Fixed,120,542,413,11089
1974,Trawl,114,950,1,133
1975,Trawl,,,1,241
1977,Trawl,,,1,348
1978,Trawl,,,20,947
1979,Trawl,,,6,6
1980,Trawl,,,62,3424
1981,Trawl,,,42,2439
1983,Trawl,,,8,800
1984,Trawl,,,1,100
1985,Trawl,,,2,2
1986,Trawl,,,136,3698
1987,Trawl,156,2454,175,5085
1988,Trawl,94,1452,123,3846
1989,Trawl,83,1241,159,4807
1990,Trawl,80,1138,175,4999
1991,Trawl,58,1689,168,5016
1992,Trawl,14,586,18,963
1993,Trawl,34,802,182,4921
1994,Trawl,30,648,155,4455
1995,Trawl,26,444,143,4239
1996,Trawl,45,986,119,3578
1997,Trawl,85,1836,142,3606
1998,Trawl,26,537,109,2274
1999,Trawl,32,699,142,3184
2000,Trawl,69,1430,152,3738
2001,Trawl,77,1308,148,3872
2002,Trawl,29,627,146,3914
2003,Trawl,29,684,162,3916
2004,Trawl,36,825,131,3672
2005,Trawl,57,1175,151,3524
2006,Trawl,77,1509,173,3665
2007,Trawl,82,1567,176,3920
2008,Trawl,8,160,157,3573
2009,Trawl,36,918,121,2808
2010,Trawl,36,865,120,3349
2011,Trawl,29,776,111,3015
2012,Trawl,4,71,135,3622
2013,Trawl,33,858,148,3896
2014,Trawl,47,851,141,3546
2015,Trawl,,,127,3933
2016,Trawl,55,274,118,3833
2017,Trawl,57,508,129,3759
2018,Trawl,67,210,115,2641
