"Survey","Year","N Tows","Positive Tows","Proportion Positive","Sampled Tows Lengths","N Lengthed","Sampled Tows Ages","N Aged"
"WCGBT",2003,542,422,0.779,420,5799,383,1389
"WCGBT",2004,470,330,0.702,328,4556,277,1086
"WCGBT",2005,641,448,0.699,446,5572,416,1577
"WCGBT",2006,638,399,0.625,398,4833,369,1363
"WCGBT",2007,687,429,0.624,422,4470,396,1259
"WCGBT",2008,680,420,0.618,420,3973,368,1190
"WCGBT",2009,680,419,0.616,419,3688,383,1181
"WCGBT",2010,713,456,0.64,457,4230,420,1270
"WCGBT",2011,695,456,0.656,455,4674,425,1193
"WCGBT",2012,695,428,0.616,428,4381,395,1091
"WCGBT",2013,468,307,0.656,307,3280,285,992
"WCGBT",2014,678,460,0.678,460,4311,429,1196
"WCGBT",2015,666,420,0.631,420,4910,401,1197
"WCGBT",2016,692,439,0.634,438,4544,426,1213
"WCGBT",2017,705,458,0.65,458,4877,441,1214
"WCGBT",2018,701,434,0.619,434,4774,430,1478
"WCGBT",2019,348,226,0.649,226,2226,223,874
"WCGBT",2021,684,520,0.76,520,6297,518,2169
"WCGBT",2022,634,464,0.732,464,6181,463,1656
"WCGBT",2023,661,483,0.731,483,6595,481,1720
"WCGBT",2024,657,477,0.726,476,6790,444,1197
